SITC_code,description,sector_code,stage,multiplier
S2-85104,Footwear with outer soles of other materials,,,
S2-85105,"Gaiters, leggings, putties, shin-guards, etc, and parts thereof",,,
S2-87,"Professional, scientific, controlling instruments, apparatus, nes",,,
S2-871,Optical instruments and apparatus,5,final,1
S2-8710,Optical instruments and apparatus,,,
S2-87101,"Refracting telescopes, monocular and binocular",,,
S2-87102,"Astronomical instruments, nes, and mountings thereof",,,
S2-87103,"Microscopes and diffraction apparatus, electron and proton",,,
S2-87104,Compound optical microscopes,,,
S2-87109,"Optical appliance and instruments, nes; lasers (other than diodes)",,,
S2-872,"Medical instruments and appliances, nes",5,final,1
S2-8720,"Medical instruments and appliances, nes",,,
S2-87201,Dental instruments and appliances,,,
S2-87202,"Medical, surgical and veterinary instruments and appliances",,,
S2-87203,Mechano-therapy appliances; massage apparatus; etc,,,
S2-873,"Meters and counters, nes",5,final,1
S2-8731,"Gas, liquid and electricity supply or production meters; etc",,,
S2-8732,Counting devices non-electrical; stroboscopes,,,
S2-874,"Measuring, checking, analysis, controlling instruments, nes, parts",5,final,1
S2-8741,"Surveying, navigational, compasses, etc, instruments, nonelectrical",,,
S2-87411,"Navigational instruments, non-electrical; compasses",,,
S2-87412,"Surveying hydrographic, geophysical, instruments, etc nonelectrical",,,
S2-8742,"Drawing, marking-out and mathematical calculating instruments, etc",,,
S2-87421,"Drawing, marking-out and mathematical calculating instruments, etc",,,
S2-87429,"Parts, nes of and accessories for the instruments of heading 87421",,,
S2-8743,"Gas, liquid control instruments and apparatus, non-electrical",,,
S2-8744,"Nonmechanical or electrical instruments for physical, etc, analysis",,,
S2-8745,"Measuring, controlling and scientific instruments, nes",,,
S2-87451,"Balances, non-electric, of a sensitivity of 5 cg or better",,,
S2-87452,"Instruments, etc for demonstrational purposes only",,,
S2-87453,"Apparatus for mechanically testing hardness, strength, etc material",,,
S2-87454,"Thermometers, hydrometers, etc, non-electric",,,
S2-8748,"Electrical measuring, controlling, etc, instruments, apparatus, nes",,,
S2-87481,Electronic automatic regulators,,,
S2-87482,Electronic instruments for measuring ionizing radiation,,,
S2-87483,"Other electronic measuring, controlling, etc, apparatus",,,
S2-87484,Electro-mechanical (non-electronic) automatic regulators,,,
S2-87489,"Other electrical (non-electronic) measuring, etc, instruments, nes",,,
S2-8749,"Parts, nes, and accessories of headings 873, 8743, 87454 or 8748",,,
S2-88,"Photographic equipment and supplies, optical goods; watches, etc",,,
S2-881,"Photographic apparatus and equipment, nes",,,
S2-8811,"Photographic cameras, flashlight apparatus, parts, accessories, nes",,,
S2-88111,Photographic cameras,,,
S2-88112,Photographic flashlight apparatus,,,
S2-88119,"Parts, nes of and accessories of heading 8811",,,
S2-8812,"Cinematographic cameras, projectors, etc, parts, accessories, nes",,,
S2-88121,"Cinematographic cameras, projectors, etc, parts, accessories, nes; for film under 16 mm width",,,
S2-88122,"Cinematographic cameras, projectors, etc, parts, accessories, nes; for film 16 mm width or greater",,,
S2-88129,"Parts, nes of and accessories, of heading 8812",,,
S2-8813,"Photographic and cinematographic apparatus and equipment, nes",,,
S2-88131,"Image projectors, photographic enlargers, etc (non-cinematographic)",,,
S2-88139,"Photo, cine laboratories equipment, nes; screens for projectors",,,
S2-882,Photographic and cinematographic supplies,,,
S2-8821,Chemical products and flashlight materials for use in photografy,,,
S2-8822,"Photographic film, plates and paper (other than cinematograph film)",,,
S2-88221,"Photographic plates, film in the flat, sensitized, unexposed",,,
S2-88222,"Film in rolls, sensitized, unexposed",,,
S2-88223,"Paper, paperboard, cloth, sensitized, exposed or not, not developed",,,
S2-88224,"Plates, film, sensitized, exposed, but not developed",,,
S2-88225,"Plates, film, sensitized, exposed and developed",,,
S2-883,"Cinematograph film, exposed and developed",,,
S2-8830,"Cinematograph film, exposed and developed",,,
S2-884,Optical goods nes,,,
S2-8841,Lenses and other optical elements of any material,,,
S2-88411,Lenses and other optical elements of any material; unmounted; sheets or plates of polarizing material,,,
S2-88412,Lenses and other optical elements of any material; mounted,,,
S2-8842,Spectacles and spectacle frames,,,
S2-88421,"Spectacle frames and mounting, and parts thereof",,,
S2-88422,"Spectacles, goggles and the like, corrective, protective, etc",,,
S2-885,Watches and clocks,,,
S2-8851,"Watches, watch movements and case",,,
S2-88511,Watches,,,
S2-88512,Clocks with watch movements,20,final,1
S2-88513,Watch movements assembled,,,
S2-88514,Watch cases and parts of watch cases,,,
S2-8852,"Clocks, clock movements and parts",20,final,1
S2-88521,"Instrument panel clocks, for vehicles, aircraft or vessels",,,
S2-88522,"Clocks, nes",,,
S2-88523,"Time of day recording apparatus, etc",,,
S2-88524,"Time switches with clock, watch movement or with synchronous motor",,,
S2-88525,"Clock movements, assembled",,,
S2-88526,"Clock cases, and parts thereof",,,
S2-88529,"Clock and watch parts, nes",,,
S2-89,"Miscellaneous manufactured articles, nes",,,
S2-892,Printed matter,,,
S2-8921,"Printed books, pamphlets, maps and globes",,,
S2-89211,"Printed books, booklets, brochures, pamphlets and leaflets",,,
S2-89212,"Children's picture books and painted books, etc",,,
S2-89213,"Maps, charts, etc; printed globes",,,
S2-8922,"Newspapers, journals and periodicals",,,
S2-8924,"Picture postcards, decalcomanias, etc, printed",,,
S2-89241,Decalcomanias,,,
S2-89242,"Picture postcards, greeting cards, etc, printed by any process",,,
S2-8928,"Printed matter, nes",,,
S2-89281,Paper and paperboard labels,,,
S2-89282,"Plans, drawings, for architectural, etc, purpose; manuscripts",,,
S2-89283,"Unused postage; stamp-impressed papers; stock; cheque books, etc",,,
S2-89284,Calendars of paper or paperboard,,,
S2-89285,"Music, printed or in manuscript",,,
S2-89286,"Trade advertising material, catalogues and the like",,,
S2-89289,Other printed matter,,,
S2-893,"Articles, nes of plastic materials",,,
S2-8931,"Plastic packing containers, lids, stoppers and other closures",,,
S2-8932,Plastic sanitary and toilet articles,,,
S2-8933,Personal adornments and ornaments articles of plastic,,,
S2-8935,Articles of electric lighting of plastic,,,
S2-8939,Miscellaneous articles of plastic,,,
S2-89391,"Polyvinyl chloride in the form of plates, flooring tiles, etc",,,
S2-89392,"Co-polymers of vinyl chloride, acetate, form of floor tiles, etc",,,
S2-89393,"Plastic roller blinds, venetian blinds, etc",,,
S2-89394,Plastic office or school supplies,,,
S2-89399,"Other articles, nes of plastic",,,
S2-894,"Baby carriages, toys, games and sporting goods",,,
S2-8941,"Baby carriages and parts thereof, nes",,,
S2-8942,"Children's toys, indoor games, etc",,,
S2-89421,"Wheeled toys to be ridden by children; dolls' prams, etc",,,
S2-89422,Dolls,,,
S2-89423,"Toys, nes; working models for recreational purposes",,,
S2-89424,"Indoor game equipment, table and funfair games for adults, children",,,
S2-89425,"Carnival and entertainment articles, Christmas adornments, etc",,,
S2-8946,Non-military arms and ammunition therefor,,,
S2-89461,"Firearms, nes",,,
S2-89462,"Other arms (airguns, truncheons, etc)",,,
S2-89463,"Sporting, hunting and target-shooting ammunition and parts thereof",,,
S2-8947,"Other sporting goods and fairground amusements, etc",,,
S2-89471,"Fishing and hunting equipment, nes",,,
S2-89472,"Appliances, apparatus, accessories, etc, for sport, outdoor games",,,
S2-89473,"Fairground amusements; travelling circus, theatres, etc",,,
S2-895,"Office and stationary supplies, nes",,,
S2-8951,"Office and stationary supplies, of base metal",,,
S2-89511,"Office equipment, of base metal (other than those of heading 8219)",,,
S2-89512,"Stationery goods, of base metal",,,
S2-8952,"Pens, pencils and, fountain pens",,,
S2-89521,"Fountain pens, stylograph pens, and pencils, their holders, parts",,,
S2-89522,Pen nibs and nib points,,,
S2-89523,"Pencils (other than of heading 89521), crayons, etc",,,
S2-8959,Other office and stationary supplies,,,
S2-89591,"Writing ink, excluding printing ink",,,
S2-89592,Slates and boards for writing or drawing,,,
S2-89593,"Date, sealing or numbering stamps, and the like",,,
S2-89594,"Typewriter ribbons, ink pads",,,
S2-89595,Sealing wax; copying paste,,,
S2-896,"Works of art, collectors' pieces and antiques",,,
S2-8960,"Works of art, collectors' pieces and antiques",,,
S2-89601,"Hand paintings, drawings and pastels",,,
S2-89602,"Original engravings, prints and lithographs",,,
S2-89603,Original sculptures and statuary,,,
S2-89604,Stamps for philately,,,
S2-89605,"Coins, nature collections",,,
S2-89606,"Antiques of an age exceeding 100 years, nes",,,
S2-897,"Gold, silver ware, jewelry and articles of precious materials, nes",,,
S2-8972,Imitation jewellery,,,
S2-8973,"Precious jewellery, goldsmiths' or silversmiths' wares",,,
S2-89731,Precious metal jewellery (except watches and watches cases),,,
S2-89732,"Articles of goldsmiths', silversmiths' wares, and parts thereof",,,
S2-89733,"Articles incorporating pearls, precious or semiprecious stones, nes",,,
S2-8974,"Other articles of precious metals or rolled precious metals, nes",,,
S2-898,"Musical instruments, parts and accessories thereof",,,
S2-8981,"Pianos, other string musical instruments",,,
S2-89811,"Pianos; harpsichords and other keyboard stringed instruments, harp",,,
S2-89819,Other string musical instruments,,,
S2-8982,"Musical instruments, nes",,,
S2-89821,Pipe and reed organs,,,
S2-89822,"Accordions, concertinas and the like; mouth organs",,,
S2-89823,Other wind musical instruments,7,final,1
S2-89824,Percussion musical instruments,7,final,1
S2-89825,Electrical musical instruments,,,
S2-89829,Other musical instruments,,,
S2-8983,"Sound recording tape, discs",,,
S2-89831,Prepared media for sound or similar recording,,,
S2-89832,"Gramophone records, recorded tapes and other sound recorded media",,,
S2-8989,"Parts, nes of and accessories for musical instruments; metronomes",,,
S2-899,"Other miscellaneous manufactured articles, nes",,,
S2-8991,"Articles and manufacture of carving, moulding materials, nes",,,
S2-89911,"Articles of animal carving materials, nes",,,
S2-89919,"Articles of vegetable or mineral carving materials, nes",,,
S2-8993,"Candles, matches, combustible products, etc",,,
S2-89931,"Candles, tapers, night-lights and the like",,,
S2-89932,Matches,,,
S2-89934,"Mechanical lighters and similar lighters, and parts thereof",,,
S2-89935,Smoking pipes and parts; cigar and cigarette holder,,,
S2-89939,Pyrophoric alloys; combustible products nes,,,
S2-8994,"Umbrellas, canes and similar articles and parts thereof",,,
S2-89941,Umbrellas and sunshades,7,final,1
S2-89942,"Canes, riding-crops, etc",7,final,1
S2-89949,"Parts, fittings and accessories of articles of heading 89941-89942",7,component,1
S2-8996,"Orthopaedic appliances, hearing aids, artificial parts of the body",,,
S2-89961,Hearing aids,,,
S2-89962,Orthopaedic appliances to compensate for a defect or disability,,,
S2-8997,"Basketwork, wickerwork; brooms, paint rollers, etc",,,
S2-89971,"Basketwork, wickerwork and articles of plaiting materials, nes",,,
S2-89972,"Brushes, brooms, mops, etc, of vegetable materials",,,
S2-8998,"Small-wares and toilet articles, nes; sieves; tailors' dummies, etc",,,
S2-89981,Hand sieves and hand riddles,,,
S2-89982,"Powder-puffs, and pads for applying cosmetics",,,
S2-89983,"Buttons and button moulds, studs, etc; blanks and parts thereof",,,
S2-89984,Slide fasteners and parts thereof,,,
S2-89985,"Combs, hair-slides and the like",,,
S2-89986,Scent and similar sprays for toilet purposes,,,
S2-89987,"Tailors' dummies, etc; animated displays for window dressing",,,
S2-8999,"Manufactured goods, nes",,,
S2-89991,"Articles made of gut, from bladders, etc",,,
S2-89992,"Skin and other parts of birds with feather, feather, etc",,,
S2-89993,"Artificial flowers, fruits etc, and parts thereof",,,
S2-89994,Human hair worked; animal or artificial hair prepared for wigs,,,
S2-89995,"Wigs, false beards, etc, of human, animal hair or textile",,,
S2-89997,"Vacuum flasks, etc, complete with cases; parts thereof",,,
S2-89998,Parachutes and parts thereof and accessories thereto,,,
S2-9,Commodities and transactions not classified elsewhere in the SITC,,,
S2-91,Postal packages not classified according to kind,,,
S2-911,Postal packages not classified according to kind,,,
S2-9110,Postal packages not classified according to kind,,,
S2-93,"Special transactions, commodity not classified according to class",,,
S2-931,"Special transactions, commodity not classified according to class",,,
S2-9310,"Special transactions, commodity not classified according to class",,,
S2-94,"Animals, live, nes, (including zoo animals, pets, insects, etc)",,,
S2-941,"Animals, live, nes, (including zoo animals, pets, insects, etc)",,,
S2-9410,"Animals, live, nes, (including zoo animals, pets, insects, etc)",,,
S2-95,"Armoured fighting vehicles, war firearms, ammunition, parts, nes",,,
S2-951,"Armoured fighting vehicles, war firearms, ammunition, parts, nes",,,
S2-9510,"Armoured fighting vehicles, war firearms, ammunition, parts, nes",,,
S2-95101,"Tanks and other armored fighting vehicles, motorized, parts, nes",16,final,1
S2-95102,Artillery weapons and other military firearms and projectors,7,final,1
S2-95104,Side-arms and parts nes,,,
S2-95105,Revolvers and pistols,7,final,1
S2-95106,"Bombs, torpedoes, missiles and similar ammunition of war; parts nes",,,
S2-95109,Parts of arms,,,
S2-96,"Coin (other than gold coin), not being legal tender",,,
S2-961,"Coin (other than gold coin), not being legal tender",,,
S2-9610,"Coin (other than gold coin), not being legal tender",,,
S2-97,"Gold, non-monetary (excluding gold ores and concentrates)",,,
S2-971,"Gold, non-monetary (excluding gold ores and concentrates)",,,
S2-9710,"Gold, non-monetary (excluding gold ores and concentrates)",,,
S2-97101,"Gold, non-monetary, unwrought or semi-manufactured",,,
S2-97102,"Rolled gold on base metal or silver, unworked or semi-manufactured",,,
S2-97103,"Gold, silver and jewels sweepings, residues, lemels, waste, etc",,,
S2-TOTAL,All Commodities,,,
